query_id,domain_id,is_relevant_domain,relevance_strength,dominant_intent_match
q-rf_3967_exodus-routing_hard_v3-0043,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0044,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0044,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0044,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0044,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0045,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0045,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0045,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0045,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0046,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0046,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0046,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0046,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0047,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0047,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0047,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0047,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0048,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0048,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0048,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0048,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0049,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0049,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0049,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0049,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0050,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0050,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0050,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0050,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0051,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0051,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0051,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0051,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0052,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0052,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0052,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0052,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0053,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0053,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0053,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0053,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0054,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0054,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0054,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0054,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0055,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0055,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0055,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0055,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0056,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0056,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0056,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0056,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0057,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0057,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0057,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0057,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0058,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0058,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0058,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0058,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0059,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0059,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0059,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0059,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0060,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0060,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0060,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0060,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0061,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0061,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0061,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0061,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0062,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0062,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0062,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0062,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0063,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0063,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0063,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0063,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0064,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0064,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0064,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0064,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0065,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0065,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0065,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0065,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0066,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0066,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0066,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0066,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0067,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0067,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0067,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0067,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0068,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0068,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0068,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0068,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0069,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0069,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0069,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0069,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0070,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0070,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0070,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0070,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0071,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0071,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0071,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0071,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0072,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0072,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0072,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0072,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0073,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0073,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0073,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0073,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0074,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0074,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0074,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0074,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0075,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0075,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0075,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0075,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0076,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0076,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0076,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0076,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0077,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0077,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0077,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0077,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0078,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0078,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0078,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0078,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0079,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0079,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0079,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0079,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0080,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0080,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0080,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0080,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0081,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0081,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0081,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0081,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0082,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0082,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0082,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0082,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0083,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0083,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0083,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0083,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0084,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0084,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0084,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0084,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0085,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0085,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0085,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0085,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0086,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0086,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0086,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0086,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0087,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0087,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0087,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0087,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0088,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0088,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0088,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0088,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0089,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0089,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0089,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0089,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0090,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0090,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0090,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0090,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0091,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0091,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0091,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0091,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0092,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0092,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0092,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0092,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0093,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0093,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0093,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0093,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0094,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0094,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0094,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0094,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0095,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0095,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0095,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0095,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0096,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0096,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0096,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0096,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0097,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0097,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0097,domain-01,0,weak,0
