object_id,object_text_id,embedding_row
obj-01-02-air_quality_co2-03-ncf01,text-obj-01-02-air_quality_co2-03-ncf01,140
obj-01-02-air_quality_co2-03-snm01,text-obj-01-02-air_quality_co2-03-snm01,141
obj-01-02-air_quality_co2-03-snm02,text-obj-01-02-air_quality_co2-03-snm02,142
obj-01-02-air_quality_co2-03-snm03,text-obj-01-02-air_quality_co2-03-snm03,143
obj-01-02-air_quality_pm25-01,text-obj-01-02-air_quality_pm25-01,144
obj-01-02-air_quality_pm25-01-cnm01,text-obj-01-02-air_quality_pm25-01-cnm01,145
obj-01-02-air_quality_pm25-01-ncf01,text-obj-01-02-air_quality_pm25-01-ncf01,146
obj-01-02-air_quality_pm25-01-snm01,text-obj-01-02-air_quality_pm25-01-snm01,147
obj-01-02-air_quality_pm25-01-snm02,text-obj-01-02-air_quality_pm25-01-snm02,148
obj-01-02-air_quality_pm25-01-snm03,text-obj-01-02-air_quality_pm25-01-snm03,149
obj-01-02-air_quality_pm25-02,text-obj-01-02-air_quality_pm25-02,150
obj-01-02-air_quality_pm25-02-cnm01,text-obj-01-02-air_quality_pm25-02-cnm01,151
obj-01-02-air_quality_pm25-02-ncf01,text-obj-01-02-air_quality_pm25-02-ncf01,152
obj-01-02-air_quality_pm25-02-snm01,text-obj-01-02-air_quality_pm25-02-snm01,153
obj-01-02-air_quality_pm25-02-snm02,text-obj-01-02-air_quality_pm25-02-snm02,154
obj-01-02-air_quality_pm25-02-snm03,text-obj-01-02-air_quality_pm25-02-snm03,155
obj-01-02-bus_arrival-01,text-obj-01-02-bus_arrival-01,156
obj-01-02-bus_arrival-01-cnm01,text-obj-01-02-bus_arrival-01-cnm01,157
obj-01-02-bus_arrival-01-ncf01,text-obj-01-02-bus_arrival-01-ncf01,158
obj-01-02-bus_arrival-01-snm01,text-obj-01-02-bus_arrival-01-snm01,159
obj-01-02-bus_arrival-01-snm02,text-obj-01-02-bus_arrival-01-snm02,160
obj-01-02-bus_arrival-01-snm03,text-obj-01-02-bus_arrival-01-snm03,161
obj-01-02-humidity-01,text-obj-01-02-humidity-01,162
obj-01-02-humidity-01-cnm01,text-obj-01-02-humidity-01-cnm01,163
obj-01-02-humidity-01-ncf01,text-obj-01-02-humidity-01-ncf01,164
obj-01-02-humidity-01-snm01,text-obj-01-02-humidity-01-snm01,165
obj-01-02-humidity-01-snm02,text-obj-01-02-humidity-01-snm02,166
obj-01-02-humidity-01-snm03,text-obj-01-02-humidity-01-snm03,167
obj-01-02-humidity-02,text-obj-01-02-humidity-02,168
obj-01-02-humidity-02-cnm01,text-obj-01-02-humidity-02-cnm01,169
obj-01-02-humidity-02-ncf01,text-obj-01-02-humidity-02-ncf01,170
obj-01-02-humidity-02-snm01,text-obj-01-02-humidity-02-snm01,171
obj-01-02-humidity-02-snm02,text-obj-01-02-humidity-02-snm02,172
obj-01-02-humidity-02-snm03,text-obj-01-02-humidity-02-snm03,173
obj-01-02-humidity-03,text-obj-01-02-humidity-03,174
obj-01-02-humidity-03-cnm01,text-obj-01-02-humidity-03-cnm01,175
obj-01-02-humidity-03-ncf01,text-obj-01-02-humidity-03-ncf01,176
obj-01-02-humidity-03-snm01,text-obj-01-02-humidity-03-snm01,177
obj-01-02-humidity-03-snm02,text-obj-01-02-humidity-03-snm02,178
obj-01-02-humidity-03-snm03,text-obj-01-02-humidity-03-snm03,179
obj-01-02-noise_level-01,text-obj-01-02-noise_level-01,180
obj-01-02-noise_level-01-cnm01,text-obj-01-02-noise_level-01-cnm01,181
obj-01-02-noise_level-01-ncf01,text-obj-01-02-noise_level-01-ncf01,182
obj-01-02-noise_level-01-snm01,text-obj-01-02-noise_level-01-snm01,183
obj-01-02-noise_level-01-snm02,text-obj-01-02-noise_level-01-snm02,184
obj-01-02-noise_level-01-snm03,text-obj-01-02-noise_level-01-snm03,185
obj-01-02-noise_level-02,text-obj-01-02-noise_level-02,186
obj-01-02-noise_level-02-cnm01,text-obj-01-02-noise_level-02-cnm01,187
obj-01-02-noise_level-02-ncf01,text-obj-01-02-noise_level-02-ncf01,188
obj-01-02-noise_level-02-snm01,text-obj-01-02-noise_level-02-snm01,189
obj-01-02-noise_level-02-snm02,text-obj-01-02-noise_level-02-snm02,190
obj-01-02-noise_level-02-snm03,text-obj-01-02-noise_level-02-snm03,191
obj-01-02-parking_availability-01,text-obj-01-02-parking_availability-01,192
obj-01-02-parking_availability-01-cnm01,text-obj-01-02-parking_availability-01-cnm01,193
obj-01-02-parking_availability-01-ncf01,text-obj-01-02-parking_availability-01-ncf01,194
obj-01-02-parking_availability-01-snm01,text-obj-01-02-parking_availability-01-snm01,195
obj-01-02-parking_availability-01-snm02,text-obj-01-02-parking_availability-01-snm02,196
obj-01-02-parking_availability-01-snm03,text-obj-01-02-parking_availability-01-snm03,197
obj-01-02-parking_availability-02,text-obj-01-02-parking_availability-02,198
obj-01-02-parking_availability-02-cnm01,text-obj-01-02-parking_availability-02-cnm01,199
obj-01-02-parking_availability-02-ncf01,text-obj-01-02-parking_availability-02-ncf01,200
obj-01-02-parking_availability-02-snm01,text-obj-01-02-parking_availability-02-snm01,201
obj-01-02-parking_availability-02-snm02,text-obj-01-02-parking_availability-02-snm02,202
obj-01-02-parking_availability-02-snm03,text-obj-01-02-parking_availability-02-snm03,203
obj-01-02-rainfall-01,text-obj-01-02-rainfall-01,204
obj-01-02-rainfall-01-cnm01,text-obj-01-02-rainfall-01-cnm01,205
obj-01-02-rainfall-01-ncf01,text-obj-01-02-rainfall-01-ncf01,206
obj-01-02-rainfall-01-snm01,text-obj-01-02-rainfall-01-snm01,207
obj-01-02-rainfall-01-snm02,text-obj-01-02-rainfall-01-snm02,208
obj-01-02-rainfall-01-snm03,text-obj-01-02-rainfall-01-snm03,209
obj-01-02-rainfall-02,text-obj-01-02-rainfall-02,210
obj-01-02-rainfall-02-cnm01,text-obj-01-02-rainfall-02-cnm01,211
obj-01-02-rainfall-02-ncf01,text-obj-01-02-rainfall-02-ncf01,212
obj-01-02-rainfall-02-snm01,text-obj-01-02-rainfall-02-snm01,213
obj-01-02-rainfall-02-snm02,text-obj-01-02-rainfall-02-snm02,214
obj-01-02-rainfall-02-snm03,text-obj-01-02-rainfall-02-snm03,215
obj-01-02-street_light_state-01,text-obj-01-02-street_light_state-01,216
obj-01-02-street_light_state-01-cnm01,text-obj-01-02-street_light_state-01-cnm01,217
obj-01-02-street_light_state-01-ncf01,text-obj-01-02-street_light_state-01-ncf01,218
obj-01-02-street_light_state-01-snm01,text-obj-01-02-street_light_state-01-snm01,219
obj-01-02-street_light_state-01-snm02,text-obj-01-02-street_light_state-01-snm02,220
obj-01-02-street_light_state-01-snm03,text-obj-01-02-street_light_state-01-snm03,221
obj-01-02-street_light_state-02,text-obj-01-02-street_light_state-02,222
obj-01-02-street_light_state-02-cnm01,text-obj-01-02-street_light_state-02-cnm01,223
obj-01-02-street_light_state-02-ncf01,text-obj-01-02-street_light_state-02-ncf01,224
obj-01-02-street_light_state-02-snm01,text-obj-01-02-street_light_state-02-snm01,225
obj-01-02-street_light_state-02-snm02,text-obj-01-02-street_light_state-02-snm02,226
obj-01-02-street_light_state-02-snm03,text-obj-01-02-street_light_state-02-snm03,227
obj-01-02-temperature-01,text-obj-01-02-temperature-01,228
obj-01-02-temperature-01-cnm01,text-obj-01-02-temperature-01-cnm01,229
obj-01-02-temperature-01-ncf01,text-obj-01-02-temperature-01-ncf01,230
obj-01-02-temperature-01-snm01,text-obj-01-02-temperature-01-snm01,231
obj-01-02-temperature-01-snm02,text-obj-01-02-temperature-01-snm02,232
obj-01-02-temperature-01-snm03,text-obj-01-02-temperature-01-snm03,233
obj-01-02-temperature-02,text-obj-01-02-temperature-02,234
obj-01-02-temperature-02-cnm01,text-obj-01-02-temperature-02-cnm01,235
obj-01-02-temperature-02-ncf01,text-obj-01-02-temperature-02-ncf01,236
obj-01-02-temperature-02-snm01,text-obj-01-02-temperature-02-snm01,237
obj-01-02-temperature-02-snm02,text-obj-01-02-temperature-02-snm02,238
obj-01-02-temperature-02-snm03,text-obj-01-02-temperature-02-snm03,239
obj-01-02-temperature-03,text-obj-01-02-temperature-03,240
obj-01-02-temperature-03-cnm01,text-obj-01-02-temperature-03-cnm01,241
obj-01-02-temperature-03-ncf01,text-obj-01-02-temperature-03-ncf01,242
obj-01-02-temperature-03-snm01,text-obj-01-02-temperature-03-snm01,243
obj-01-02-temperature-03-snm02,text-obj-01-02-temperature-03-snm02,244
obj-01-02-temperature-03-snm03,text-obj-01-02-temperature-03-snm03,245
obj-01-02-traffic_speed-01,text-obj-01-02-traffic_speed-01,246
obj-01-02-traffic_speed-01-cnm01,text-obj-01-02-traffic_speed-01-cnm01,247
obj-01-02-traffic_speed-01-ncf01,text-obj-01-02-traffic_speed-01-ncf01,248
obj-01-02-traffic_speed-01-snm01,text-obj-01-02-traffic_speed-01-snm01,249
obj-01-02-traffic_speed-01-snm02,text-obj-01-02-traffic_speed-01-snm02,250
obj-01-02-traffic_speed-01-snm03,text-obj-01-02-traffic_speed-01-snm03,251
obj-01-03-air_quality_co2-01,text-obj-01-03-air_quality_co2-01,252
obj-01-03-air_quality_co2-01-cnm01,text-obj-01-03-air_quality_co2-01-cnm01,253
obj-01-03-air_quality_co2-01-ncf01,text-obj-01-03-air_quality_co2-01-ncf01,254
obj-01-03-air_quality_co2-01-snm01,text-obj-01-03-air_quality_co2-01-snm01,255
obj-01-03-air_quality_co2-01-snm02,text-obj-01-03-air_quality_co2-01-snm02,256
obj-01-03-air_quality_co2-01-snm03,text-obj-01-03-air_quality_co2-01-snm03,257
obj-01-03-air_quality_co2-02,text-obj-01-03-air_quality_co2-02,258
obj-01-03-air_quality_co2-02-cnm01,text-obj-01-03-air_quality_co2-02-cnm01,259
obj-01-03-air_quality_co2-02-ncf01,text-obj-01-03-air_quality_co2-02-ncf01,260
obj-01-03-air_quality_co2-02-snm01,text-obj-01-03-air_quality_co2-02-snm01,261
obj-01-03-air_quality_co2-02-snm02,text-obj-01-03-air_quality_co2-02-snm02,262
obj-01-03-air_quality_co2-02-snm03,text-obj-01-03-air_quality_co2-02-snm03,263
obj-01-03-air_quality_pm25-01,text-obj-01-03-air_quality_pm25-01,264
obj-01-03-air_quality_pm25-01-cnm01,text-obj-01-03-air_quality_pm25-01-cnm01,265
obj-01-03-air_quality_pm25-01-ncf01,text-obj-01-03-air_quality_pm25-01-ncf01,266
obj-01-03-air_quality_pm25-01-snm01,text-obj-01-03-air_quality_pm25-01-snm01,267
obj-01-03-air_quality_pm25-01-snm02,text-obj-01-03-air_quality_pm25-01-snm02,268
obj-01-03-air_quality_pm25-01-snm03,text-obj-01-03-air_quality_pm25-01-snm03,269
obj-01-03-air_quality_pm25-02,text-obj-01-03-air_quality_pm25-02,270
obj-01-03-air_quality_pm25-02-cnm01,text-obj-01-03-air_quality_pm25-02-cnm01,271
obj-01-03-air_quality_pm25-02-ncf01,text-obj-01-03-air_quality_pm25-02-ncf01,272
obj-01-03-air_quality_pm25-02-snm01,text-obj-01-03-air_quality_pm25-02-snm01,273
obj-01-03-air_quality_pm25-02-snm02,text-obj-01-03-air_quality_pm25-02-snm02,274
obj-01-03-air_quality_pm25-02-snm03,text-obj-01-03-air_quality_pm25-02-snm03,275
obj-01-03-bus_arrival-01,text-obj-01-03-bus_arrival-01,276
obj-01-03-bus_arrival-01-cnm01,text-obj-01-03-bus_arrival-01-cnm01,277
obj-01-03-bus_arrival-01-ncf01,text-obj-01-03-bus_arrival-01-ncf01,278
obj-01-03-bus_arrival-01-snm01,text-obj-01-03-bus_arrival-01-snm01,279
obj-01-03-bus_arrival-01-snm02,text-obj-01-03-bus_arrival-01-snm02,280
obj-01-03-bus_arrival-01-snm03,text-obj-01-03-bus_arrival-01-snm03,281
obj-01-03-bus_arrival-02,text-obj-01-03-bus_arrival-02,282
obj-01-03-bus_arrival-02-cnm01,text-obj-01-03-bus_arrival-02-cnm01,283
obj-01-03-bus_arrival-02-ncf01,text-obj-01-03-bus_arrival-02-ncf01,284
obj-01-03-bus_arrival-02-snm01,text-obj-01-03-bus_arrival-02-snm01,285
obj-01-03-bus_arrival-02-snm02,text-obj-01-03-bus_arrival-02-snm02,286
obj-01-03-bus_arrival-02-snm03,text-obj-01-03-bus_arrival-02-snm03,287
obj-01-03-humidity-01,text-obj-01-03-humidity-01,288
obj-01-03-humidity-01-cnm01,text-obj-01-03-humidity-01-cnm01,289
obj-01-03-humidity-01-ncf01,text-obj-01-03-humidity-01-ncf01,290
obj-01-03-humidity-01-snm01,text-obj-01-03-humidity-01-snm01,291
obj-01-03-humidity-01-snm02,text-obj-01-03-humidity-01-snm02,292
obj-01-03-humidity-01-snm03,text-obj-01-03-humidity-01-snm03,293
obj-01-03-humidity-02,text-obj-01-03-humidity-02,294
obj-01-03-humidity-02-cnm01,text-obj-01-03-humidity-02-cnm01,295
obj-01-03-humidity-02-ncf01,text-obj-01-03-humidity-02-ncf01,296
obj-01-03-humidity-02-snm01,text-obj-01-03-humidity-02-snm01,297
obj-01-03-humidity-02-snm02,text-obj-01-03-humidity-02-snm02,298
obj-01-03-humidity-02-snm03,text-obj-01-03-humidity-02-snm03,299
obj-01-03-humidity-03,text-obj-01-03-humidity-03,300
obj-01-03-humidity-03-cnm01,text-obj-01-03-humidity-03-cnm01,301
obj-01-03-humidity-03-ncf01,text-obj-01-03-humidity-03-ncf01,302
obj-01-03-humidity-03-snm01,text-obj-01-03-humidity-03-snm01,303
obj-01-03-humidity-03-snm02,text-obj-01-03-humidity-03-snm02,304
obj-01-03-humidity-03-snm03,text-obj-01-03-humidity-03-snm03,305
obj-01-03-noise_level-01,text-obj-01-03-noise_level-01,306
obj-01-03-noise_level-01-cnm01,text-obj-01-03-noise_level-01-cnm01,307
obj-01-03-noise_level-01-ncf01,text-obj-01-03-noise_level-01-ncf01,308
obj-01-03-noise_level-01-snm01,text-obj-01-03-noise_level-01-snm01,309
obj-01-03-noise_level-01-snm02,text-obj-01-03-noise_level-01-snm02,310
obj-01-03-noise_level-01-snm03,text-obj-01-03-noise_level-01-snm03,311
obj-01-03-noise_level-02,text-obj-01-03-noise_level-02,312
obj-01-03-noise_level-02-cnm01,text-obj-01-03-noise_level-02-cnm01,313
obj-01-03-noise_level-02-ncf01,text-obj-01-03-noise_level-02-ncf01,314
obj-01-03-noise_level-02-snm01,text-obj-01-03-noise_level-02-snm01,315
obj-01-03-noise_level-02-snm02,text-obj-01-03-noise_level-02-snm02,316
obj-01-03-noise_level-02-snm03,text-obj-01-03-noise_level-02-snm03,317
obj-01-03-parking_availability-01,text-obj-01-03-parking_availability-01,318
obj-01-03-parking_availability-01-cnm01,text-obj-01-03-parking_availability-01-cnm01,319
obj-01-03-parking_availability-01-ncf01,text-obj-01-03-parking_availability-01-ncf01,320
obj-01-03-parking_availability-01-snm01,text-obj-01-03-parking_availability-01-snm01,321
obj-01-03-parking_availability-01-snm02,text-obj-01-03-parking_availability-01-snm02,322
obj-01-03-parking_availability-01-snm03,text-obj-01-03-parking_availability-01-snm03,323
obj-01-03-parking_availability-02,text-obj-01-03-parking_availability-02,324
obj-01-03-parking_availability-02-cnm01,text-obj-01-03-parking_availability-02-cnm01,325
obj-01-03-parking_availability-02-ncf01,text-obj-01-03-parking_availability-02-ncf01,326
obj-01-03-parking_availability-02-snm01,text-obj-01-03-parking_availability-02-snm01,327
obj-01-03-parking_availability-02-snm02,text-obj-01-03-parking_availability-02-snm02,328
obj-01-03-parking_availability-02-snm03,text-obj-01-03-parking_availability-02-snm03,329
obj-01-03-rainfall-01,text-obj-01-03-rainfall-01,330
obj-01-03-rainfall-01-cnm01,text-obj-01-03-rainfall-01-cnm01,331
obj-01-03-rainfall-01-ncf01,text-obj-01-03-rainfall-01-ncf01,332
obj-01-03-rainfall-01-snm01,text-obj-01-03-rainfall-01-snm01,333
obj-01-03-rainfall-01-snm02,text-obj-01-03-rainfall-01-snm02,334
obj-01-03-rainfall-01-snm03,text-obj-01-03-rainfall-01-snm03,335
obj-01-03-rainfall-02,text-obj-01-03-rainfall-02,336
