centroid_row,domain_id,level,cell_id
86,domain-01,2,domain-01-domain-01-zone-03-humidity-mc-1
87,domain-01,2,domain-01-domain-01-zone-03-humidity-mc-2
88,domain-01,1,domain-01-domain-01-zone-03-noise_level
89,domain-01,2,domain-01-domain-01-zone-03-noise_level-mc-1
90,domain-01,2,domain-01-domain-01-zone-03-noise_level-mc-2
91,domain-01,1,domain-01-domain-01-zone-03-parking_availability
92,domain-01,2,domain-01-domain-01-zone-03-parking_availability-mc-1
93,domain-01,2,domain-01-domain-01-zone-03-parking_availability-mc-2
94,domain-01,1,domain-01-domain-01-zone-03-rainfall
95,domain-01,2,domain-01-domain-01-zone-03-rainfall-mc-1
96,domain-01,2,domain-01-domain-01-zone-03-rainfall-mc-2
97,domain-01,1,domain-01-domain-01-zone-03-street_light_state
98,domain-01,2,domain-01-domain-01-zone-03-street_light_state-mc-1
99,domain-01,2,domain-01-domain-01-zone-03-street_light_state-mc-2
100,domain-01,1,domain-01-domain-01-zone-03-temperature
101,domain-01,2,domain-01-domain-01-zone-03-temperature-mc-1
102,domain-01,2,domain-01-domain-01-zone-03-temperature-mc-2
103,domain-01,1,domain-01-domain-01-zone-03-traffic_speed
104,domain-01,2,domain-01-domain-01-zone-03-traffic_speed-mc-1
105,domain-01,2,domain-01-domain-01-zone-03-traffic_speed-mc-2
106,domain-01,1,domain-01-domain-01-zone-04-air_quality_co2
107,domain-01,2,domain-01-domain-01-zone-04-air_quality_co2-mc-1
108,domain-01,2,domain-01-domain-01-zone-04-air_quality_co2-mc-2
109,domain-01,1,domain-01-domain-01-zone-04-air_quality_pm25
110,domain-01,2,domain-01-domain-01-zone-04-air_quality_pm25-mc-1
111,domain-01,2,domain-01-domain-01-zone-04-air_quality_pm25-mc-2
112,domain-01,1,domain-01-domain-01-zone-04-bus_arrival
113,domain-01,2,domain-01-domain-01-zone-04-bus_arrival-mc-1
114,domain-01,2,domain-01-domain-01-zone-04-bus_arrival-mc-2
115,domain-01,1,domain-01-domain-01-zone-04-humidity
116,domain-01,2,domain-01-domain-01-zone-04-humidity-mc-1
117,domain-01,2,domain-01-domain-01-zone-04-humidity-mc-2
118,domain-01,1,domain-01-domain-01-zone-04-noise_level
119,domain-01,2,domain-01-domain-01-zone-04-noise_level-mc-1
120,domain-01,2,domain-01-domain-01-zone-04-noise_level-mc-2
121,domain-01,1,domain-01-domain-01-zone-04-parking_availability
122,domain-01,2,domain-01-domain-01-zone-04-parking_availability-mc-1
123,domain-01,2,domain-01-domain-01-zone-04-parking_availability-mc-2
124,domain-01,1,domain-01-domain-01-zone-04-rainfall
125,domain-01,2,domain-01-domain-01-zone-04-rainfall-mc-1
126,domain-01,2,domain-01-domain-01-zone-04-rainfall-mc-2
127,domain-01,1,domain-01-domain-01-zone-04-street_light_state
128,domain-01,2,domain-01-domain-01-zone-04-street_light_state-mc-1
129,domain-01,2,domain-01-domain-01-zone-04-street_light_state-mc-2
130,domain-01,1,domain-01-domain-01-zone-04-temperature
131,domain-01,2,domain-01-domain-01-zone-04-temperature-mc-1
132,domain-01,2,domain-01-domain-01-zone-04-temperature-mc-2
133,domain-01,1,domain-01-domain-01-zone-04-traffic_speed
134,domain-01,2,domain-01-domain-01-zone-04-traffic_speed-mc-1
135,domain-01,2,domain-01-domain-01-zone-04-traffic_speed-mc-2
136,domain-02,1,domain-02-domain-02-zone-01-air_quality_co2
137,domain-02,2,domain-02-domain-02-zone-01-air_quality_co2-mc-1
138,domain-02,2,domain-02-domain-02-zone-01-air_quality_co2-mc-2
139,domain-02,1,domain-02-domain-02-zone-01-air_quality_pm25
140,domain-02,2,domain-02-domain-02-zone-01-air_quality_pm25-mc-1
141,domain-02,2,domain-02-domain-02-zone-01-air_quality_pm25-mc-2
142,domain-02,1,domain-02-domain-02-zone-01-bus_arrival
143,domain-02,2,domain-02-domain-02-zone-01-bus_arrival-mc-1
144,domain-02,2,domain-02-domain-02-zone-01-bus_arrival-mc-2
145,domain-02,1,domain-02-domain-02-zone-01-humidity
146,domain-02,2,domain-02-domain-02-zone-01-humidity-mc-1
147,domain-02,2,domain-02-domain-02-zone-01-humidity-mc-2
148,domain-02,1,domain-02-domain-02-zone-01-noise_level
149,domain-02,2,domain-02-domain-02-zone-01-noise_level-mc-1
150,domain-02,2,domain-02-domain-02-zone-01-noise_level-mc-2
151,domain-02,1,domain-02-domain-02-zone-01-parking_availability
152,domain-02,2,domain-02-domain-02-zone-01-parking_availability-mc-1
153,domain-02,2,domain-02-domain-02-zone-01-parking_availability-mc-2
154,domain-02,1,domain-02-domain-02-zone-01-rainfall
155,domain-02,2,domain-02-domain-02-zone-01-rainfall-mc-1
156,domain-02,2,domain-02-domain-02-zone-01-rainfall-mc-2
157,domain-02,1,domain-02-domain-02-zone-01-street_light_state
158,domain-02,2,domain-02-domain-02-zone-01-street_light_state-mc-1
159,domain-02,2,domain-02-domain-02-zone-01-street_light_state-mc-2
160,domain-02,1,domain-02-domain-02-zone-01-temperature
161,domain-02,2,domain-02-domain-02-zone-01-temperature-mc-1
162,domain-02,2,domain-02-domain-02-zone-01-temperature-mc-2
163,domain-02,1,domain-02-domain-02-zone-01-traffic_speed
164,domain-02,2,domain-02-domain-02-zone-01-traffic_speed-mc-1
165,domain-02,2,domain-02-domain-02-zone-01-traffic_speed-mc-2
166,domain-02,1,domain-02-domain-02-zone-02-air_quality_co2
167,domain-02,2,domain-02-domain-02-zone-02-air_quality_co2-mc-1
168,domain-02,2,domain-02-domain-02-zone-02-air_quality_co2-mc-2
169,domain-02,1,domain-02-domain-02-zone-02-air_quality_pm25
170,domain-02,2,domain-02-domain-02-zone-02-air_quality_pm25-mc-1
171,domain-02,2,domain-02-domain-02-zone-02-air_quality_pm25-mc-2
172,domain-02,1,domain-02-domain-02-zone-02-bus_arrival
173,domain-02,2,domain-02-domain-02-zone-02-bus_arrival-mc-1
174,domain-02,2,domain-02-domain-02-zone-02-bus_arrival-mc-2
175,domain-02,1,domain-02-domain-02-zone-02-humidity
176,domain-02,2,domain-02-domain-02-zone-02-humidity-mc-1
177,domain-02,2,domain-02-domain-02-zone-02-humidity-mc-2
178,domain-02,1,domain-02-domain-02-zone-02-noise_level
179,domain-02,2,domain-02-domain-02-zone-02-noise_level-mc-1
180,domain-02,2,domain-02-domain-02-zone-02-noise_level-mc-2
181,domain-02,1,domain-02-domain-02-zone-02-parking_availability
182,domain-02,2,domain-02-domain-02-zone-02-parking_availability-mc-1
183,domain-02,2,domain-02-domain-02-zone-02-parking_availability-mc-2
184,domain-02,1,domain-02-domain-02-zone-02-rainfall
185,domain-02,2,domain-02-domain-02-zone-02-rainfall-mc-1
186,domain-02,2,domain-02-domain-02-zone-02-rainfall-mc-2
187,domain-02,1,domain-02-domain-02-zone-02-street_light_state
188,domain-02,2,domain-02-domain-02-zone-02-street_light_state-mc-1
189,domain-02,2,domain-02-domain-02-zone-02-street_light_state-mc-2
190,domain-02,1,domain-02-domain-02-zone-02-temperature
191,domain-02,2,domain-02-domain-02-zone-02-temperature-mc-1
192,domain-02,2,domain-02-domain-02-zone-02-temperature-mc-2
193,domain-02,1,domain-02-domain-02-zone-02-traffic_speed
194,domain-02,2,domain-02-domain-02-zone-02-traffic_speed-mc-1
195,domain-02,2,domain-02-domain-02-zone-02-traffic_speed-mc-2
196,domain-02,1,domain-02-domain-02-zone-03-air_quality_co2
197,domain-02,2,domain-02-domain-02-zone-03-air_quality_co2-mc-1
198,domain-02,2,domain-02-domain-02-zone-03-air_quality_co2-mc-2
199,domain-02,1,domain-02-domain-02-zone-03-air_quality_pm25
200,domain-02,2,domain-02-domain-02-zone-03-air_quality_pm25-mc-1
201,domain-02,2,domain-02-domain-02-zone-03-air_quality_pm25-mc-2
202,domain-02,1,domain-02-domain-02-zone-03-bus_arrival
203,domain-02,2,domain-02-domain-02-zone-03-bus_arrival-mc-1
204,domain-02,2,domain-02-domain-02-zone-03-bus_arrival-mc-2
205,domain-02,1,domain-02-domain-02-zone-03-humidity
206,domain-02,2,domain-02-domain-02-zone-03-humidity-mc-1
207,domain-02,2,domain-02-domain-02-zone-03-humidity-mc-2
208,domain-02,1,domain-02-domain-02-zone-03-noise_level
209,domain-02,2,domain-02-domain-02-zone-03-noise_level-mc-1
210,domain-02,2,domain-02-domain-02-zone-03-noise_level-mc-2
211,domain-02,1,domain-02-domain-02-zone-03-parking_availability
212,domain-02,2,domain-02-domain-02-zone-03-parking_availability-mc-1
213,domain-02,2,domain-02-domain-02-zone-03-parking_availability-mc-2
214,domain-02,1,domain-02-domain-02-zone-03-rainfall
215,domain-02,2,domain-02-domain-02-zone-03-rainfall-mc-1
216,domain-02,2,domain-02-domain-02-zone-03-rainfall-mc-2
217,domain-02,1,domain-02-domain-02-zone-03-street_light_state
218,domain-02,2,domain-02-domain-02-zone-03-street_light_state-mc-1
219,domain-02,2,domain-02-domain-02-zone-03-street_light_state-mc-2
220,domain-02,1,domain-02-domain-02-zone-03-temperature
221,domain-02,2,domain-02-domain-02-zone-03-temperature-mc-1
222,domain-02,2,domain-02-domain-02-zone-03-temperature-mc-2
223,domain-02,1,domain-02-domain-02-zone-03-traffic_speed
224,domain-02,2,domain-02-domain-02-zone-03-traffic_speed-mc-1
225,domain-02,2,domain-02-domain-02-zone-03-traffic_speed-mc-2
226,domain-02,1,domain-02-domain-02-zone-04-air_quality_co2
227,domain-02,2,domain-02-domain-02-zone-04-air_quality_co2-mc-1
228,domain-02,2,domain-02-domain-02-zone-04-air_quality_co2-mc-2
229,domain-02,1,domain-02-domain-02-zone-04-air_quality_pm25
230,domain-02,2,domain-02-domain-02-zone-04-air_quality_pm25-mc-1
231,domain-02,2,domain-02-domain-02-zone-04-air_quality_pm25-mc-2
232,domain-02,1,domain-02-domain-02-zone-04-bus_arrival
233,domain-02,2,domain-02-domain-02-zone-04-bus_arrival-mc-1
234,domain-02,2,domain-02-domain-02-zone-04-bus_arrival-mc-2
235,domain-02,1,domain-02-domain-02-zone-04-humidity
236,domain-02,2,domain-02-domain-02-zone-04-humidity-mc-1
237,domain-02,2,domain-02-domain-02-zone-04-humidity-mc-2
238,domain-02,1,domain-02-domain-02-zone-04-noise_level
239,domain-02,2,domain-02-domain-02-zone-04-noise_level-mc-1
240,domain-02,2,domain-02-domain-02-zone-04-noise_level-mc-2
241,domain-02,1,domain-02-domain-02-zone-04-parking_availability
242,domain-02,2,domain-02-domain-02-zone-04-parking_availability-mc-1
243,domain-02,2,domain-02-domain-02-zone-04-parking_availability-mc-2
244,domain-02,1,domain-02-domain-02-zone-04-rainfall
245,domain-02,2,domain-02-domain-02-zone-04-rainfall-mc-1
246,domain-02,2,domain-02-domain-02-zone-04-rainfall-mc-2
247,domain-02,1,domain-02-domain-02-zone-04-street_light_state
248,domain-02,2,domain-02-domain-02-zone-04-street_light_state-mc-1
249,domain-02,2,domain-02-domain-02-zone-04-street_light_state-mc-2
250,domain-02,1,domain-02-domain-02-zone-04-temperature
251,domain-02,2,domain-02-domain-02-zone-04-temperature-mc-1
252,domain-02,2,domain-02-domain-02-zone-04-temperature-mc-2
253,domain-02,1,domain-02-domain-02-zone-04-traffic_speed
254,domain-02,2,domain-02-domain-02-zone-04-traffic_speed-mc-1
255,domain-02,2,domain-02-domain-02-zone-04-traffic_speed-mc-2
256,domain-03,1,domain-03-domain-03-zone-01-air_quality_co2
257,domain-03,2,domain-03-domain-03-zone-01-air_quality_co2-mc-1
258,domain-03,2,domain-03-domain-03-zone-01-air_quality_co2-mc-2
259,domain-03,1,domain-03-domain-03-zone-01-air_quality_pm25
260,domain-03,2,domain-03-domain-03-zone-01-air_quality_pm25-mc-1
261,domain-03,2,domain-03-domain-03-zone-01-air_quality_pm25-mc-2
262,domain-03,1,domain-03-domain-03-zone-01-bus_arrival
263,domain-03,2,domain-03-domain-03-zone-01-bus_arrival-mc-1
264,domain-03,2,domain-03-domain-03-zone-01-bus_arrival-mc-2
265,domain-03,1,domain-03-domain-03-zone-01-humidity
266,domain-03,2,domain-03-domain-03-zone-01-humidity-mc-1
267,domain-03,2,domain-03-domain-03-zone-01-humidity-mc-2
268,domain-03,1,domain-03-domain-03-zone-01-noise_level
269,domain-03,2,domain-03-domain-03-zone-01-noise_level-mc-1
270,domain-03,2,domain-03-domain-03-zone-01-noise_level-mc-2
271,domain-03,1,domain-03-domain-03-zone-01-parking_availability
272,domain-03,2,domain-03-domain-03-zone-01-parking_availability-mc-1
273,domain-03,2,domain-03-domain-03-zone-01-parking_availability-mc-2
274,domain-03,1,domain-03-domain-03-zone-01-rainfall
275,domain-03,2,domain-03-domain-03-zone-01-rainfall-mc-1
276,domain-03,2,domain-03-domain-03-zone-01-rainfall-mc-2
277,domain-03,1,domain-03-domain-03-zone-01-street_light_state
278,domain-03,2,domain-03-domain-03-zone-01-street_light_state-mc-1
279,domain-03,2,domain-03-domain-03-zone-01-street_light_state-mc-2
280,domain-03,1,domain-03-domain-03-zone-01-temperature
281,domain-03,2,domain-03-domain-03-zone-01-temperature-mc-1
282,domain-03,2,domain-03-domain-03-zone-01-temperature-mc-2
283,domain-03,1,domain-03-domain-03-zone-01-traffic_speed
284,domain-03,2,domain-03-domain-03-zone-01-traffic_speed-mc-1
285,domain-03,2,domain-03-domain-03-zone-01-traffic_speed-mc-2
286,domain-03,1,domain-03-domain-03-zone-02-air_quality_co2
287,domain-03,2,domain-03-domain-03-zone-02-air_quality_co2-mc-1
288,domain-03,2,domain-03-domain-03-zone-02-air_quality_co2-mc-2
289,domain-03,1,domain-03-domain-03-zone-02-air_quality_pm25
290,domain-03,2,domain-03-domain-03-zone-02-air_quality_pm25-mc-1
291,domain-03,2,domain-03-domain-03-zone-02-air_quality_pm25-mc-2
292,domain-03,1,domain-03-domain-03-zone-02-bus_arrival
293,domain-03,2,domain-03-domain-03-zone-02-bus_arrival-mc-1
294,domain-03,2,domain-03-domain-03-zone-02-bus_arrival-mc-2
295,domain-03,1,domain-03-domain-03-zone-02-humidity
296,domain-03,2,domain-03-domain-03-zone-02-humidity-mc-1
297,domain-03,2,domain-03-domain-03-zone-02-humidity-mc-2
298,domain-03,1,domain-03-domain-03-zone-02-noise_level
299,domain-03,2,domain-03-domain-03-zone-02-noise_level-mc-1
300,domain-03,2,domain-03-domain-03-zone-02-noise_level-mc-2
301,domain-03,1,domain-03-domain-03-zone-02-parking_availability
302,domain-03,2,domain-03-domain-03-zone-02-parking_availability-mc-1
303,domain-03,2,domain-03-domain-03-zone-02-parking_availability-mc-2
304,domain-03,1,domain-03-domain-03-zone-02-rainfall
305,domain-03,2,domain-03-domain-03-zone-02-rainfall-mc-1
306,domain-03,2,domain-03-domain-03-zone-02-rainfall-mc-2
307,domain-03,1,domain-03-domain-03-zone-02-street_light_state
308,domain-03,2,domain-03-domain-03-zone-02-street_light_state-mc-1
309,domain-03,2,domain-03-domain-03-zone-02-street_light_state-mc-2
310,domain-03,1,domain-03-domain-03-zone-02-temperature
311,domain-03,2,domain-03-domain-03-zone-02-temperature-mc-1
312,domain-03,2,domain-03-domain-03-zone-02-temperature-mc-2
313,domain-03,1,domain-03-domain-03-zone-02-traffic_speed
314,domain-03,2,domain-03-domain-03-zone-02-traffic_speed-mc-1
315,domain-03,2,domain-03-domain-03-zone-02-traffic_speed-mc-2
316,domain-03,1,domain-03-domain-03-zone-03-air_quality_co2
317,domain-03,2,domain-03-domain-03-zone-03-air_quality_co2-mc-1
318,domain-03,2,domain-03-domain-03-zone-03-air_quality_co2-mc-2
319,domain-03,1,domain-03-domain-03-zone-03-air_quality_pm25
320,domain-03,2,domain-03-domain-03-zone-03-air_quality_pm25-mc-1
321,domain-03,2,domain-03-domain-03-zone-03-air_quality_pm25-mc-2
322,domain-03,1,domain-03-domain-03-zone-03-bus_arrival
323,domain-03,2,domain-03-domain-03-zone-03-bus_arrival-mc-1
324,domain-03,2,domain-03-domain-03-zone-03-bus_arrival-mc-2
325,domain-03,1,domain-03-domain-03-zone-03-humidity
326,domain-03,2,domain-03-domain-03-zone-03-humidity-mc-1
327,domain-03,2,domain-03-domain-03-zone-03-humidity-mc-2
328,domain-03,1,domain-03-domain-03-zone-03-noise_level
329,domain-03,2,domain-03-domain-03-zone-03-noise_level-mc-1
330,domain-03,2,domain-03-domain-03-zone-03-noise_level-mc-2
331,domain-03,1,domain-03-domain-03-zone-03-parking_availability
332,domain-03,2,domain-03-domain-03-zone-03-parking_availability-mc-1
333,domain-03,2,domain-03-domain-03-zone-03-parking_availability-mc-2
334,domain-03,1,domain-03-domain-03-zone-03-rainfall
335,domain-03,2,domain-03-domain-03-zone-03-rainfall-mc-1
336,domain-03,2,domain-03-domain-03-zone-03-rainfall-mc-2
337,domain-03,1,domain-03-domain-03-zone-03-street_light_state
338,domain-03,2,domain-03-domain-03-zone-03-street_light_state-mc-1
339,domain-03,2,domain-03-domain-03-zone-03-street_light_state-mc-2
340,domain-03,1,domain-03-domain-03-zone-03-temperature
341,domain-03,2,domain-03-domain-03-zone-03-temperature-mc-1
342,domain-03,2,domain-03-domain-03-zone-03-temperature-mc-2
343,domain-03,1,domain-03-domain-03-zone-03-traffic_speed
344,domain-03,2,domain-03-domain-03-zone-03-traffic_speed-mc-1
345,domain-03,2,domain-03-domain-03-zone-03-traffic_speed-mc-2
346,domain-03,1,domain-03-domain-03-zone-04-air_quality_co2
347,domain-03,2,domain-03-domain-03-zone-04-air_quality_co2-mc-1
348,domain-03,2,domain-03-domain-03-zone-04-air_quality_co2-mc-2
349,domain-03,1,domain-03-domain-03-zone-04-air_quality_pm25
350,domain-03,2,domain-03-domain-03-zone-04-air_quality_pm25-mc-1
351,domain-03,2,domain-03-domain-03-zone-04-air_quality_pm25-mc-2
352,domain-03,1,domain-03-domain-03-zone-04-bus_arrival
353,domain-03,2,domain-03-domain-03-zone-04-bus_arrival-mc-1
354,domain-03,2,domain-03-domain-03-zone-04-bus_arrival-mc-2
355,domain-03,1,domain-03-domain-03-zone-04-humidity
356,domain-03,2,domain-03-domain-03-zone-04-humidity-mc-1
357,domain-03,2,domain-03-domain-03-zone-04-humidity-mc-2
358,domain-03,1,domain-03-domain-03-zone-04-noise_level
359,domain-03,2,domain-03-domain-03-zone-04-noise_level-mc-1
360,domain-03,2,domain-03-domain-03-zone-04-noise_level-mc-2
361,domain-03,1,domain-03-domain-03-zone-04-parking_availability
362,domain-03,2,domain-03-domain-03-zone-04-parking_availability-mc-1
363,domain-03,2,domain-03-domain-03-zone-04-parking_availability-mc-2
364,domain-03,1,domain-03-domain-03-zone-04-rainfall
365,domain-03,2,domain-03-domain-03-zone-04-rainfall-mc-1
366,domain-03,2,domain-03-domain-03-zone-04-rainfall-mc-2
367,domain-03,1,domain-03-domain-03-zone-04-street_light_state
368,domain-03,2,domain-03-domain-03-zone-04-street_light_state-mc-1
369,domain-03,2,domain-03-domain-03-zone-04-street_light_state-mc-2
370,domain-03,1,domain-03-domain-03-zone-04-temperature
371,domain-03,2,domain-03-domain-03-zone-04-temperature-mc-1
372,domain-03,2,domain-03-domain-03-zone-04-temperature-mc-2
373,domain-03,1,domain-03-domain-03-zone-04-traffic_speed
374,domain-03,2,domain-03-domain-03-zone-04-traffic_speed-mc-1
375,domain-03,2,domain-03-domain-03-zone-04-traffic_speed-mc-2
376,domain-04,1,domain-04-domain-04-zone-01-air_quality_co2
377,domain-04,2,domain-04-domain-04-zone-01-air_quality_co2-mc-1
378,domain-04,2,domain-04-domain-04-zone-01-air_quality_co2-mc-2
379,domain-04,1,domain-04-domain-04-zone-01-air_quality_pm25
380,domain-04,2,domain-04-domain-04-zone-01-air_quality_pm25-mc-1
381,domain-04,2,domain-04-domain-04-zone-01-air_quality_pm25-mc-2
382,domain-04,1,domain-04-domain-04-zone-01-bus_arrival
383,domain-04,2,domain-04-domain-04-zone-01-bus_arrival-mc-1
384,domain-04,2,domain-04-domain-04-zone-01-bus_arrival-mc-2
385,domain-04,1,domain-04-domain-04-zone-01-humidity
386,domain-04,2,domain-04-domain-04-zone-01-humidity-mc-1
387,domain-04,2,domain-04-domain-04-zone-01-humidity-mc-2
388,domain-04,1,domain-04-domain-04-zone-01-noise_level
389,domain-04,2,domain-04-domain-04-zone-01-noise_level-mc-1
390,domain-04,2,domain-04-domain-04-zone-01-noise_level-mc-2
391,domain-04,1,domain-04-domain-04-zone-01-parking_availability
392,domain-04,2,domain-04-domain-04-zone-01-parking_availability-mc-1
393,domain-04,2,domain-04-domain-04-zone-01-parking_availability-mc-2
394,domain-04,1,domain-04-domain-04-zone-01-rainfall
395,domain-04,2,domain-04-domain-04-zone-01-rainfall-mc-1
396,domain-04,2,domain-04-domain-04-zone-01-rainfall-mc-2
397,domain-04,1,domain-04-domain-04-zone-01-street_light_state
398,domain-04,2,domain-04-domain-04-zone-01-street_light_state-mc-1
399,domain-04,2,domain-04-domain-04-zone-01-street_light_state-mc-2
400,domain-04,1,domain-04-domain-04-zone-01-temperature
401,domain-04,2,domain-04-domain-04-zone-01-temperature-mc-1
402,domain-04,2,domain-04-domain-04-zone-01-temperature-mc-2
403,domain-04,1,domain-04-domain-04-zone-01-traffic_speed
404,domain-04,2,domain-04-domain-04-zone-01-traffic_speed-mc-1
405,domain-04,2,domain-04-domain-04-zone-01-traffic_speed-mc-2
406,domain-04,1,domain-04-domain-04-zone-02-air_quality_co2
407,domain-04,2,domain-04-domain-04-zone-02-air_quality_co2-mc-1
408,domain-04,2,domain-04-domain-04-zone-02-air_quality_co2-mc-2
409,domain-04,1,domain-04-domain-04-zone-02-air_quality_pm25
410,domain-04,2,domain-04-domain-04-zone-02-air_quality_pm25-mc-1
411,domain-04,2,domain-04-domain-04-zone-02-air_quality_pm25-mc-2
412,domain-04,1,domain-04-domain-04-zone-02-bus_arrival
413,domain-04,2,domain-04-domain-04-zone-02-bus_arrival-mc-1
414,domain-04,2,domain-04-domain-04-zone-02-bus_arrival-mc-2
415,domain-04,1,domain-04-domain-04-zone-02-humidity
416,domain-04,2,domain-04-domain-04-zone-02-humidity-mc-1
417,domain-04,2,domain-04-domain-04-zone-02-humidity-mc-2
418,domain-04,1,domain-04-domain-04-zone-02-noise_level
419,domain-04,2,domain-04-domain-04-zone-02-noise_level-mc-1
420,domain-04,2,domain-04-domain-04-zone-02-noise_level-mc-2
421,domain-04,1,domain-04-domain-04-zone-02-parking_availability
422,domain-04,2,domain-04-domain-04-zone-02-parking_availability-mc-1
423,domain-04,2,domain-04-domain-04-zone-02-parking_availability-mc-2
424,domain-04,1,domain-04-domain-04-zone-02-rainfall
